plant_id,date,mean_dc,mean_ac,mean_daily_yield,mean_total_yield,mean_amb_temp,mean_mod_temp,mean_irr
4136001,6/9/2020,262.3234323,256.5878955,4168.961772,641831989.6,28.12693157,32.96038336,0.248312757
4136001,6/10/2020,186.3587928,182.3325804,3192.233442,624122184.3,27.33461143,30.82651118,0.193503362
4136001,6/11/2020,162.2882832,159.0188552,2618.192557,634210282.9,25.52091109,27.24831906,0.117478772
4136001,6/12/2020,194.7130033,190.7694219,2846.476574,639603594.3,24.68342154,27.11689978,0.136489227
4136001,6/13/2020,215.5803932,210.9411763,3192.860036,627823445.7,26.11693704,30.39487111,0.215522641
4135001,6/13/2020,3595.538006,351.3412186,4122.122827,7067253.239,24.56672889,30.48102566,0.264472443
4135001,6/14/2020,3006.862968,294.2752342,3428.334796,7074978.518,24.4128914,29.42170748,0.220085639
4136001,6/14/2020,239.5414072,234.4098027,3706.387063,644966002.9,27.01979005,31.58983412,0.229516982
4135001,6/15/2020,2867.204503,280.5321327,3379.466307,7081974.544,24.8274136,29.92781673,0.20592506
4136001,6/15/2020,194.6017564,190.4934301,3279.391644,645082178,26.55759112,29.99623265,0.185052569
4135001,6/16/2020,2638.494917,258.2891472,3083.610239,7088387.939,24.92892942,29.55556714,0.187282557
4136001,6/16/2020,227.6562825,222.9310735,3356.849479,634833034.5,26.36989716,29.58989594,0.165061632
4135001,6/17/2020,2571.460262,251.6361395,2968.511882,7094474.291,24.22972834,28.37454261,0.176963673
4136001,6/17/2020,180.0242616,176.3429532,1982.56347,637688654.7,24.85217446,26.66863133,0.124382967
